
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=10.0, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 15.961527, Drift Rate -0.000000, index 501079
Top hit found! SNR 92.456482, Drift Rate -0.000000, index 532158
Top hit found! SNR 11.883426, Drift Rate -0.000000, index 534071
Top hit found! SNR 218.825180, Drift Rate -0.000000, index 565139
Top hit found! SNR 27.219391, Drift Rate -0.000000, index 567062
Top hit found! SNR 23.967171, Drift Rate -0.000000, index 568698
Top hit found! SNR 18.917280, Drift Rate -0.000000, index 598116
Top hit found! SNR 36.922028, Drift Rate -0.000000, index 631098
Top hit found! SNR 16.800354, Drift Rate -0.000000, index 664080
Top hit found! SNR 33.076778, Drift Rate -0.000000, index 697062
Top hit found! SNR 15.671695, Drift Rate 0.009566, index 699025
Top hit found! SNR 15.052300, Drift Rate -0.000000, index 730043
Top hit found! SNR 4876.108887, Drift Rate 0.009566, index 828984
Top hit found! SNR 1440.410278, Drift Rate -0.000000, index 831041
Top hit found! SNR 651.268372, Drift Rate -0.000000, index 832691
Top hit found! SNR 10.005422, Drift Rate -0.000000, index 861965
Top hit found! SNR 13.827552, Drift Rate -0.000000, index 894947
Top hit found! SNR 10.038584, Drift Rate -0.000000, index 927924
Top hit found! SNR 17.029385, Drift Rate -0.000000, index 44252
Top hit found! SNR 1979.101440, Drift Rate -0.000000, index 51062
Top hit found! SNR 24.218481, Drift Rate -0.000000, index 53531
Top hit found! SNR 46.445900, Drift Rate -0.000000, index 110215
Top hit found! SNR 12.101716, Drift Rate -0.000000, index 112375
Top hit found! SNR 12.482665, Drift Rate -0.000000, index 143197
Top hit found! SNR 14.972339, Drift Rate -0.000000, index 176178
Top hit found! SNR 23.803326, Drift Rate -0.000000, index 178359
Top hit found! SNR 36.226902, Drift Rate -0.000000, index 275119
Top hit found! SNR 11.713572, Drift Rate -0.000000, index 308101
Top hit found! SNR 35.987343, Drift Rate -0.000000, index 310323
Top hit found! SNR 2193.276611, Drift Rate -0.000000, index 342535
Top hit found! SNR 10.121898, Drift Rate -0.000000, index 374059
Top hit found! SNR 14600.479492, Drift Rate -0.000000, index 440023
Top hit found! SNR 15.534552, Drift Rate -0.000000, index 538963
Top hit found! SNR 33.115093, Drift Rate -0.000000, index 571945
Top hit found! SNR 11.318278, Drift Rate -0.000000, index 574249
Top hit found! SNR 15.045954, Drift Rate -0.000000, index 604926
Top hit found! SNR 29.594168, Drift Rate -0.000000, index 703867
Top hit found! SNR 11.795469, Drift Rate 0.009566, index 835794
Top hit found! SNR 15.641962, Drift Rate -0.000000, index 868771
Top hit found! SNR 27224.763672, Drift Rate -0.000000, index 51062
Top hit found! SNR 427.398376, Drift Rate -0.000000, index 53531
Top hit found! SNR 62.697899, Drift Rate -0.000000, index 55511
Top hit found! SNR 21.194702, Drift Rate -0.000000, index 215966
Top hit found! SNR 12.101257, Drift Rate -0.000000, index 281929
Top hit found! SNR 48.258686, Drift Rate -0.000000, index 314906
Top hit found! SNR 28.957155, Drift Rate -0.000000, index 446833
Top hit found! SNR 18.159437, Drift Rate -0.000000, index 479810
Top hit found! SNR 13.529896, Drift Rate -0.000000, index 512791
Top hit found! SNR 38.011894, Drift Rate -0.000000, index 545773
Top hit found! SNR 28.244173, Drift Rate -0.000000, index 578755
Top hit found! SNR 16.928381, Drift Rate -0.000000, index 611736
Top hit found! SNR 10.974925, Drift Rate -0.000000, index 644714
Top hit found! SNR 3388.027832, Drift Rate -0.000000, index 710677
Top hit found! SNR 46.183220, Drift Rate -0.000000, index 713352
Top hit found! SNR 29.742802, Drift Rate -0.000000, index 715497
Top hit found! SNR 15.322045, Drift Rate -0.000000, index 735131
Top hit found! SNR 40.511452, Drift Rate -0.000000, index 842599
Top hit found! SNR 17.861622, Drift Rate -0.000000, index 875581
